title,category,lang
МЗУ звинуватило МОЗ у зриві переговорів про закупівлю COVID-вакцини провідних виробників,Коронавірус,uk
Президент доручив СБУ перевірити інформацію про ввезення в Україну контрабандою вакцини від COVID-19,Коронавірус,uk
В Україні набув чинності новий поділ на карантинні зони,Коронавірус,uk
В Україні за добу зафіксували 5 133  нових випадків COVID-19,Коронавірус,uk
В Україні за добу зафіксовано 4 766 нових випадків коронавірусу,Коронавірус,uk
На Львівщині погіршується епідеміологічна ситуація щодо COVID-19,Коронавірус,uk
У Києві за добу виявили 422 випадки коронавірусу,Коронавірус,uk
У Луцьку протестують медики  клінічного  пологового  будинку,Коронавірус,uk
"Німеччина вводить обов’язковий карантин для громадян з ""червоних"" країн",Коронавірус,uk
Wizz Air скасував більше 20 рейсів з України на листопад,Коронавірус,uk
Кабмін продовжив адаптивний карантин до кінця року та посилив обмеження,Коронавірус,uk
"Міський голова Львова: Готуємось до найгірших варіантів, бо люди мають бути в безпеці",Коронавірус,uk
Країни Європи почали скасовувати традиційні різдвяні ярмарки через пандемію,Коронавірус,uk
МВФ оцінив світові збитки від коронакризи за декілька років,Коронавірус,uk
У Польщі можуть ввести повний локдаун через коронавірус,Коронавірус,uk
В Україні за добу виявлено 5 062 нові випадки коронавірусу,Коронавірус,uk
Ізраїль вирішив відновити міжнародне авіасполучення попри пандемію,Коронавірус,uk
У Празі відкрили готель для хворих на COVID-19,Коронавірус,uk
У Штатах зафіксували новий рекорд випадків коронавірусу за добу,Коронавірус,uk
Ляшко запропонував запровадити в аптеках і магазинах час для літніх людей,Коронавірус,uk
"У паризькому регіоні і ще восьми містах Франції з суботи вводиться нічна комендантська година, - Макрон",Коронавірус,uk
Євросоюз підготував пакет пропозицій щодо реформування ВООЗ,Коронавірус,uk
У світі зафіксовано вже понад 50 мільйонів випадків коронавірусу,Коронавірус,uk
Меркель закликала німців до самоізоляції,Коронавірус,uk
Папа Римський зробив щеплення від COVID-19,Коронавірус,uk
"МОЗ закликав перевести на віддалену роботу всіх, хто має можливість працювати з дому",Коронавірус,uk
"МОЗ оновило список країн ""червоної"" зони",Коронавірус,uk
"Залучати інтернів до боротьби з коронавірусом можна лише під керівництвом лікарів, - Степанов",Коронавірус,uk
В українській армії зафіксували 141 новий випадок COVID-19,Коронавірус,uk
Польща посилює карантинні обмеження через спалах COVID-19,Коронавірус,uk
Меркель: ЄС скасував намічений на листопад саміт у Берліні,Коронавірус,uk
"Пік епідемії в Україні очікуємо в кінці листопада, - МОЗ",Коронавірус,uk
МОЗ України просить СБ збільшити фінансування на закупівлю вакцин від COVID-19,Коронавірус,uk
У Києві за минулу добу виявили найбільшу кількість хворих за весь період пандемії,Коронавірус,uk
"В Україні не планується запровадження суворого карантину, - Зеленський",Коронавірус,uk
Ізраїль поступово виходить з жорсткого карантину,Коронавірус,uk
"Польщу додали до переліку країн ""червоної"" зони",Коронавірус,uk
"Наразі в Україні зайнято майже 60% лікарняних ліжок, - МОЗ",Коронавірус,uk
У Львові ще одна лікарня прийматиме хворих на ковід та опрацьовано  можливість страхувати медиків у разі інфікування,Коронавірус,uk
Майже 60 тисяч людей зробили щеплення від COVID-19 під час випробувань вакцини у КНР,Коронавірус,uk
У Кропивницькому серед членів ДВК виявили хворих на COVID-19,Коронавірус,uk
В Україні почало діяти нове карантинне зонування,Коронавірус,uk
МОЗ України планує цього тижня укласти контракти з виробниками вакцин від COVID-19,Коронавірус,uk
За сьогоднішній день у Львові провакцинували 640 людей,Коронавірус,uk
В Україні за добу підтверджено 6 719 випадків коронавірусу,Коронавірус,uk
"Кінотеатрам дозволили працювати в ""червоній"" зоні карантину",Коронавірус,uk
"Довідку про вакцинацію для подорожей видаватимуть безкоштовно, - Ляшко",Коронавірус,uk
У Чернівецькій області 40% шкіл перебувають на дистанційному навчанні,Коронавірус,uk
В Україні оновили карантинні зони,Коронавірус,uk
Зеленський закликав релігійних лідерів допомогти убезпечити громадян від поширення COVID-19,Коронавірус,uk
"Кількість заражень коронавірусом у світі перевищила 40,7 млн",Коронавірус,uk
В Іспанії зареєстрували понад 1 млн заражених коронавірусом,Коронавірус,uk
"Зеленський вважає, що карантин вихідного дня допоможе уникнути жорсткого локдауну",Коронавірус,uk
У Києві за добу зафіксовано 559 випадків COVID-19,Коронавірус,uk
За добу в Україні зафіксували 7474 нових випадки коронавірусу,Коронавірус,uk
"Запровадження карантину вихідного дня потрібне для зниження швидкості поширення COVID-19, - Степанов",Коронавірус,uk
"Безкоштовні тести на коронавірус роблять тільки за рекомендацією лікаря, - Кличко",Коронавірус,uk
За добу в Україні виявлено рекордні 7053 нових випадків COVID-19,Коронавірус,uk
Харківщина вирішила відкрити кінотеатри попри червону зону карантину,Коронавірус,uk
В Україні за добу зафіксували 9721 новий випадок захворювання на COVID-19,Коронавірус,uk
"Жоден регіон України не готовий до послаблення карантину, - МОЗ",Коронавірус,uk
В Італії другу добу поспіль фіксується понад 19 тисяч випадків COVID-19,Коронавірус,uk
Степанов: Розробку української вакцини від коронавірусу може бути завершено вже за рік,Коронавірус,uk
За добу в Україні виявлено 5181 новий випадок COVID-19,Коронавірус,uk
"В Україні не реєструватимуть російську вакцину ""Супутник V"", - Степанов",Коронавірус,uk
Криклій: Транспорт на період карантину вихідного дня не зупинятимуть,Коронавірус,uk
"У МОЗ України немає точної статистики одужавших після COVID-19, оскільки тестування необов'язкове, - Степанов",Коронавірус,uk
"За добу виявлені рекордні 7 517 нових випадків COVID-19, одужали 2 680 людей",Коронавірус,uk
Уряд продовжив карантин в Україні до 30 квітня,Коронавірус,uk
"Введення нових карантинних обмежень розглядатимуть за 15 тисяч хворих на COVID-19 за добу, - Ляшко",Коронавірус,uk
"ЄС обмежив в'їзд громадян Канади, Грузії та Тунісу через ситуацію з COVID-19",Коронавірус,uk
В Україні з 26 жовтня набрали чинності нові карантинні зони,Коронавірус,uk
Влада Львова проситиме про обмеження інспекційних перевірок підприємств,Коронавірус,uk
